,player_0,player_1,player_2,player_3,player_4,level_0,level_1,level_2,level_3,level_4,level_5,age,duration_ms,# tries,target
3242,0.018269230769230767,0.010884615384615385,5.461538461538461e-05,0.010307692307692308,2.1655882352941176,0.001496153846153846,0.45397096577157475,0.0185,0.30526315789473685,8.0,0.0,29.0,186802.0,2,8
2651,0.026974358974358976,0.022974358974358976,3.352051282051282e-06,0.0035705128205128205,2.024598039215686,0.00453974358974359,0.5626082124339244,,0.3368421052631579,7.0,1.0,16.0,291137.66666666674,6,8
8288,0.030615384615384614,0.026153846153846156,0.0,0.010307692307692308,1.907441176470588,,0.7574617783350098,0.021730769230769227,0.6842105263157895,10.0,0.0,15.0,190466.0,1,2
10265,0.021615384615384616,0.025461538461538463,3.7384615384615383e-07,0.003303846153846154,1.9954705882352943,0.004230769230769231,0.7963011440092219,0.018923076923076928,0.4105263157894737,6.0,0.0,18.0,243067.0,2,9
6925,0.024525641025641025,0.02344871794871795,0.000478076923076923,0.003085897435897436,2.0137058823529412,,0.43488883683976065,0.02628205128205128,0.5824561403508773,4.0,1.0,,264096.66666666674,6,9
10673,0.01856410256410257,0.026525641025641027,0.0058752793589743595,0.004634615384615385,2.0354215686274513,0.0013397435897435897,0.7006501548461566,0.018974358974358976,0.424561403508772,7.0,1.0,15.0,234377.66666666663,6,3
11750,0.017961538461538463,0.016346153846153847,0.031846153846153843,0.016538461538461537,2.0762941176470586,0.0019884615384615388,0.5758394070073436,0.029384615384615384,0.09473684210526316,2.0,1.0,29.0,178364.0,2,8
4503,0.012884615384615385,0.006538461538461539,0.03673076923076923,0.004615384615384615,2.3598823529411765,0.0019884615384615388,0.35451885938928,0.003003846153846154,0.6526315789473685,10.0,1.0,29.0,119000.0,2,4
8244,0.02323076923076923,0.023923076923076922,0.0,0.004076923076923077,1.9661176470588235,0.0011884615384615384,0.6156248421304015,0.021,0.5473684210526316,11.0,1.0,18.0,309838.0,2,3
12517,0.010474358974358973,0.004005128205128206,1.8833141025641032e-05,0.005715384615384614,2.382588235294118,0.0017749999999999999,0.48515910959250125,0.005414102564102564,0.21052631578947367,5.0,1.0,28.0,281517.83333333326,12,8
11907,0.02700480769230769,0.03014903846153846,6.009615384615384e-08,0.0093125,1.9144117647058825,0.00983173076923077,0.5281978065885012,0.026961538461538464,0.5473684210526316,7.0,1.0,15.0,274436.75,8,3
